1.17180437375  3.68672638844	0.00519089103878  0.00296512321948
2.37832148354  4.07172774264	0.00519089103878  0.00296512321948
3.57326152002  3.88767445771	0.00519089103878  0.00296512321948
4.76854658902  3.86959619129	0.00519089103878  0.00296512321948
5.96377004507  3.82187952871	0.00519089103878  0.00296512321948
7.18005280743  3.90456667484	0.00519089103878  0.00296512321948
10.7647989813  3.31684074464	0.00519089103878  0.00296512321948
25.1705967599  3.10581382364	0.00519089103878  0.00296512321948
